CustomerID,Frequency,Monetary,R_Score,F_Score,M_Score,Churn
12346.0,2,0.0,1,2,1,1
12347.0,7,4310.0,5,4,5,0
12348.0,4,1797.24,2,3,4,0
12349.0,1,1757.55,4,1,4,0
12350.0,1,334.40000000000003,1,1,2,1
12352.0,11,1545.41,3,5,4,0
12353.0,1,89.0,1,1,1,1
12354.0,1,1079.4,1,1,4,1
12355.0,1,459.4,1,1,2,1
12356.0,3,2811.43,4,3,5,0
12357.0,1,6207.67,3,1,5,0
12358.0,2,1168.06,5,2,4,0
12359.0,6,6182.9800000000005,5,4,5,0
12360.0,3,2662.06,3,3,5,0
12361.0,1,189.9,1,1,1,1
12362.0,13,5154.58,5,5,5,0
12363.0,2,552.0,2,2,3,1
12364.0,4,1313.1,5,3,4,0
12365.0,3,320.69,1,3,2,1
12367.0,1,168.9,5,1,1,0
12370.0,4,3541.94,3,3,5,0
12371.0,2,1887.96,3,2,4,0
12372.0,3,1298.04,2,3,4,0
12373.0,1,364.6,1,1,2,1
12374.0,1,742.9300000000001,4,1,3,0
12375.0,3,455.42,5,3,2,0
12377.0,2,1628.12,1,2,4,1
12378.0,1,4008.62,2,1,5,1
12379.0,3,850.29,2,3,3,0
12380.0,5,2720.56,4,4,5,0
12381.0,6,1803.96,5,4,4,0
12383.0,6,1839.31,1,4,4,1
12384.0,3,566.16,4,3,3,0
12386.0,2,401.9,1,2,2,1
12388.0,6,2780.6600000000003,4,4,5,0
12390.0,1,549.84,2,1,3,0
12391.0,1,439.66,4,1,2,0
12393.0,4,1582.6,2,4,4,0
12394.0,2,1272.48,3,2,4,0
12395.0,15,2998.28,4,5,5,0
12397.0,2,2409.9,3,2,5,0
12398.0,1,1635.66,3,1,4,0
12399.0,4,1108.65,2,4,4,1
12401.0,1,84.3,1,1,1,1
12402.0,1,225.6,1,1,1,1
12403.0,2,409.7,3,2,2,0
12405.0,1,1710.39,2,1,4,1
12406.0,3,3280.75,4,3,5,0
12407.0,5,1708.12,3,4,4,0
12408.0,9,2842.57,3,5,5,0
12409.0,7,11056.93,2,4,5,0
12410.0,3,681.08,1,3,3,1
12412.0,3,1226.88,2,3,4,0
12413.0,5,694.15,3,4,3,0
12414.0,3,562.4100000000001,1,3,3,1
12415.0,26,123725.45,4,5,5,0
12417.0,12,3578.8,5,5,5,0
12418.0,1,668.58,2,1,3,1
12420.0,1,600.39,3,1,3,0
12421.0,5,806.27,4,4,3,0
12422.0,3,803.5600000000001,2,3,3,1
12423.0,9,1849.11,5,5,4,0
12424.0,2,1760.96,2,2,4,1
12425.0,1,777.2,2,1,3,0
12426.0,1,582.73,1,1,3,1
12427.0,5,708.37,4,4,3,0
12428.0,12,7877.2,4,5,5,0
12429.0,4,3750.4,5,4,5,0
12430.0,1,256.4,3,1,2,0
12431.0,18,6348.89,3,5,5,0
12432.0,5,5059.32,3,4,5,0
12433.0,7,13375.87,5,4,5,0
12434.0,4,765.19,2,4,3,0
12435.0,2,7829.89,2,2,5,0
12436.0,1,509.01,2,1,3,1
12437.0,19,4896.66,5,5,5,0
12438.0,2,2906.85,4,2,5,0
12441.0,1,173.55,1,1,1,1
12442.0,1,172.06,5,1,1,0
12444.0,5,5005.46,4,4,5,0
12445.0,1,133.4,4,1,1,0
12446.0,1,1002.31,3,1,4,0
12447.0,1,476.49,1,1,3,1
12448.0,1,449.45,3,1,2,0
12449.0,4,4067.29,4,4,5,0
12450.0,2,197.88,2,2,1,1
12451.0,6,8933.52,5,4,5,0
12452.0,3,428.5700000000001,4,3,2,0
12453.0,1,707.09,2,1,3,1
12454.0,2,5.684341886080803e-14,3,2,1,0
12455.0,6,2466.86,2,4,5,0
12456.0,4,3153.89,3,4,5,0
12457.0,12,1917.78,3,5,4,0
12458.0,2,947.4,3,2,4,0
12461.0,2,826.88,2,2,3,1
12462.0,4,1124.01,5,4,4,0
12463.0,7,1303.63,3,4,4,0
12464.0,8,1212.05,5,5,4,0
12465.0,3,733.89,5,3,3,0
12468.0,3,724.04,2,3,3,1
12471.0,49,18705.52,5,5,5,0
12472.0,13,6229.4800000000005,4,5,5,0
12473.0,9,2837.73,4,5,5,0
12474.0,30,7064.77,4,5,5,0
12475.0,1,723.38,3,1,3,0
12476.0,20,6546.58,5,5,5,0
12477.0,9,13117.01,4,5,5,0
12478.0,1,680.99,5,1,3,0
12479.0,3,477.3,5,3,3,0
12480.0,4,3281.63,4,4,5,0
12481.0,11,5574.36,4,5,5,0
12483.0,13,2327.13,4,5,5,0
12484.0,8,4480.87,3,5,5,0
12488.0,3,1298.66,5,3,4,0
12489.0,1,334.93,1,1,2,1
12490.0,10,5417.93,5,5,5,0
12491.0,1,460.4,3,1,2,0
12492.0,2,263.21000000000004,3,2,2,0
12493.0,3,416.79,2,3,2,1
12494.0,13,1139.35,5,5,4,0
12497.0,1,1043.1,2,1,4,0
12498.0,3,403.7000000000001,4,3,2,0
12500.0,13,4206.27,4,5,5,0
12501.0,2,2089.68,1,2,5,1
12502.0,5,3723.87,2,4,5,1
12503.0,1,-1126.0,1,1,1,1
12504.0,4,114.0,4,4,1,0
12505.0,1,-4.5,1,1,1,1
12506.0,1,73.5,1,1,1,1
12507.0,4,1258.06,2,4,4,1
12508.0,2,397.88,4,2,2,0
12509.0,1,176.5,1,1,1,1
12510.0,2,982.57,2,2,4,1
12512.0,2,132.18,3,2,1,0
12513.0,2,586.79,2,2,3,0
12514.0,1,1017.68,1,1,4,1
12515.0,1,383.7,1,1,2,1
12516.0,2,1312.06,2,2,4,0
12517.0,6,2443.65,4,4,5,0
12518.0,5,2056.89,5,4,5,0
12519.0,1,330.84000000000003,3,1,2,0
12520.0,6,2582.51,2,4,5,0
12521.0,1,599.68,2,1,3,1
12522.0,2,192.72,3,2,1,0
12523.0,13,1745.57,5,5,4,0
12524.0,8,4485.72,5,5,5,0
12526.0,3,1316.66,5,3,4,0
12527.0,3,348.71000000000004,2,3,2,0
12528.0,8,1922.28,5,5,4,0
12530.0,5,1623.63,3,4,4,0
12531.0,1,125.22,4,1,1,0
12532.0,1,349.83000000000004,4,1,2,0
12534.0,1,1089.18,2,1,4,1
12535.0,2,716.35,2,2,3,1
12536.0,5,4106.82,5,4,5,0
12538.0,1,363.95,4,1,2,0
12539.0,5,3852.5,4,4,5,0
12540.0,19,13309.04,4,5,5,0
12541.0,3,981.18,4,3,4,0
12544.0,2,355.7,4,2,2,0
12545.0,2,1000.39,2,2,4,0
12546.0,3,1141.5,3,3,4,0
12547.0,2,207.8,1,2,1,1
12548.0,1,95.2,2,1,1,1
12550.0,1,964.83,2,1,4,0
12551.0,1,168.0,1,1,1,1
12552.0,2,437.82,3,2,2,0
12553.0,14,3652.25,5,5,5,0
12556.0,2,599.56,3,2,3,0
12557.0,5,11990.96,4,4,5,0
12558.0,2,1.0658141036401504e-14,5,2,1,0
12559.0,3,536.21,1,3,3,1
12560.0,4,2101.39,5,4,5,0
12561.0,1,238.85,1,1,2,1
12562.0,7,3781.74,5,4,5,0
12564.0,1,456.9,1,1,2,1
12565.0,2,131.17000000000002,1,2,1,1
12566.0,2,346.7,2,2,2,0
12567.0,11,9114.94,4,5,5,0
12569.0,35,4064.99,5,5,5,0
12571.0,2,519.61,3,2,3,0
12572.0,3,1004.72,5,3,4,0
12573.0,1,160.54000000000002,1,1,1,1
12574.0,1,218.45,1,1,1,1
12576.0,6,1306.98,3,4,4,0
12577.0,4,564.2,3,4,3,0
12578.0,4,2753.36,4,4,5,0
12579.0,3,410.72,2,3,2,0
12580.0,1,415.7,1,1,2,1
12581.0,1,197.71,3,1,1,0
12582.0,2,511.36,1,2,3,1
12583.0,18,7187.34,5,5,5,0
12584.0,18,1893.95,5,5,4,0
12585.0,4,1982.81,1,4,4,1
12586.0,2,179.94000000000003,4,2,1,0
12587.0,1,144.0,5,1,1,0
12588.0,1,214.9,3,1,1,0
12589.0,2,646.68,4,2,3,0
12590.0,3,9861.38,1,3,5,1
12591.0,1,452.85,1,1,2,1
12592.0,2,437.6,2,2,2,1
12593.0,3,418.1,2,3,2,1
12594.0,11,3320.2200000000003,3,5,5,0
12596.0,2,618.27,3,2,3,0
12597.0,5,3683.13,4,4,5,0
12598.0,9,3002.68,5,5,5,0
12599.0,7,1032.58,4,4,4,0
12600.0,11,2581.04,4,5,5,0
12601.0,6,569.5600000000001,1,4,3,1
12602.0,1,153.12,3,1,1,0
12603.0,1,739.1999999999999,4,1,3,0
12604.0,2,254.18,2,2,2,0
12605.0,1,-7.5,1,1,1,1
12607.0,2,7.105427357601002e-15,3,2,1,0
12609.0,3,1126.85,2,3,4,0
12610.0,7,2057.99,4,4,5,0
12611.0,1,1193.32,3,1,4,0
12612.0,2,643.59,3,2,3,0
12613.0,6,3218.98,4,4,5,0
12614.0,1,315.6,1,1,2,1
12615.0,4,2291.19,5,4,5,0
12616.0,5,657.25,2,4,3,0
12617.0,1,352.98,4,1,2,0
12618.0,1,177.31,4,1,1,0
12619.0,13,3214.81,4,5,5,0
12620.0,3,1339.41,4,3,4,0
12621.0,23,13612.07,5,5,5,0
12622.0,1,180.1,1,1,1,1
12623.0,1,305.1,1,1,2,1
12624.0,2,641.13,2,2,3,1
12625.0,3,2614.32,1,3,5,1
12626.0,13,6388.35,4,5,5,0
12627.0,7,4478.53,5,4,5,0
12628.0,4,769.61,5,4,3,0
12630.0,2,1270.88,5,2,4,0
12631.0,1,640.5,3,1,3,0
12633.0,5,2140.63,3,4,5,0
12635.0,2,1689.18,2,2,4,0
12637.0,10,5934.25,3,5,5,0
12638.0,1,671.69,3,1,3,0
12639.0,1,486.1,1,1,3,1
12640.0,3,1174.58,4,3,4,0
12641.0,1,185.9,2,1,1,1
12642.0,3,1013.26,4,3,4,0
12643.0,6,3344.64,2,4,5,1
12644.0,1,477.91,2,1,3,1
12645.0,5,1755.38,3,4,4,0
12646.0,2,1346.97,5,2,4,0
12647.0,13,3669.92,4,5,5,0
12648.0,1,318.05,2,1,2,1
12649.0,4,603.71,2,4,3,1
12650.0,1,314.44,5,1,2,0
12651.0,1,114.0,1,1,1,1
12652.0,2,914.53,1,2,4,1
12653.0,2,2209.85,2,2,5,1
12654.0,5,601.98,5,4,3,0
12656.0,8,3982.72,4,5,5,0
12657.0,5,1152.06,5,4,4,0
12658.0,1,686.05,4,1,3,0
12659.0,1,91.68,4,1,1,0
12660.0,1,245.1,5,1,2,0
12662.0,12,3817.08,5,5,5,0
12664.0,10,4863.88,5,5,5,0
12665.0,2,61.75,1,2,1,1
12666.0,1,-227.44,1,1,1,1
12667.0,1,620.13,3,1,3,0
12668.0,6,3743.18,5,4,5,0
12669.0,4,1607.73,2,4,4,1
12670.0,6,2986.15,5,4,5,0
12672.0,1,225.9,1,1,1,1
12673.0,2,610.52,5,2,3,0
12674.0,7,1922.26,4,4,4,0
12676.0,6,1331.39,4,4,4,0
12678.0,13,17588.26,3,5,5,0
12679.0,9,1058.67,3,5,4,0
12680.0,4,862.81,5,4,3,0
12681.0,27,13677.59,4,5,5,0
12682.0,31,12279.82,5,5,5,0
12683.0,20,8221.09,5,5,5,0
12684.0,7,2283.63,5,4,5,0
12685.0,6,2863.08,4,4,5,0
12686.0,1,89.14,1,1,1,1
12688.0,1,4873.81,2,1,5,1
12689.0,2,1247.61,4,2,4,0
12690.0,1,389.01,1,1,2,1
12691.0,6,1035.8,4,4,4,0
12693.0,6,830.96,2,4,3,1
12694.0,2,869.67,3,2,3,0
12695.0,4,582.1,5,4,3,0
12697.0,5,939.02,4,4,4,0
12700.0,6,4867.99,5,4,5,0
